STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
131,L43,CTCP Lilama 45.3,Công nghiệp,11/6/2008,3.500.000,3.500.000
132,L61,CTCP Lilama 69-1,Công nghiệp,19/11/2008,7.576.200,7.576.200
133,L62,Công ty cổ phần LILAMA 69-2,Công nghiệp,21/4/2008,8.298.243,8.298.243
134,LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,,1/3/2012,112.856.400,112.856.400
135,LBE,CTCP Sách và Thiết bị Trường học Long An,"Thương mại và dịch vụ lưu trú, ăn uống",22/2/2008,1.999.934,1.999.934
136,LCD,ctcp Lắp máy - Thí nghiệm cơ điện,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",15/11/2010,1.474.000,1.499.945
137,LDP,CTCP Dược Lâm Đồng - Ladophar,Y tế,20/7/2010,12.703.167,12.703.135
138,LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,,13/1/2010,14.400.000,14.400.000
139,LIG,CTCP Licogi 13,Xây dựng,22/4/2010,95.084.569,94.220.661
140,LUT,CTCP Đầu tư Xây dựng Lương Tài,Xây dựng,4/1/2008,15.000.000,14.960.000
141,MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật hàng hải,Công nghiệp,24/12/2009,15.139.745,15.139.745
142,MAS,CTCP Dịch vụ Hàng Không Sân Bay Đà Nẵng,"Thương mại và dịch vụ lưu trú, ăn uống",15/7/2014,4.267.683,4.267.683
143,MBG,CTCP Tập Đoàn MBG,Công nghiệp,26/11/2015,120.218.540,120.218.540
144,MBS,Công ty Cổ phần Chứng khoán MB,Tài chính,28/3/2016,380.593.118,380.562.677
145,MCC,CTCP Gạch ngói cao cấp,Công nghiệp,26/4/2010,5.016.124,4.986.124
146,MCF,Công ty CP Xây lắp Cơ khí và Lương thực Thực phẩm,Công nghiệp,14/2/2011,10.777.838,10.777.838
147,MCO,CTCP Đầu tư & Xây dựng BDC Việt Nam,Xây dựng,21/12/2006,4.103.929,4.103.929
148,MDC,CTCP Than Mông Dương - Vinacomin,Khai khoáng và Dầu khí,23/7/2009,21.418.346,21.418.346
149,MED,CTCP Dược Trung Ương Mediplantex,TÀI CHÍNH,18/3/2020,12.410.000,12.410.000
150,MEL,CTCP Thép Mê Lin,Công nghiệp,27/9/2017,15.000.000,15.000.000
151,MHL,CTCP Minh Hữu Liên,"Thương mại và dịch vụ lưu trú, ăn uống",26/11/2009,5.430.923,5.288.623
152,MIM,CTCP Khoáng sản và Cơ khí,Công nghiệp,16/8/2010,3.409.860,3.409.860
153,MKV,CTCP Dược Thú Y Cai Lậy,Y tế,21/11/2008,5.000.038,5.000.000
154,MST,CTCP Đầu tư MST,Xây dựng,10/5/2016,68.140.691,68.140.691
155,MVB,Tổng công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Khai khoáng và Dầu khí,28/10/2020,105.000.000,105.000.000
156,NAG,CTCP Tập Đoàn Nagakawa,Công nghiệp,22/9/2009,31.646.541,31.646.539
